"","Symbol","Name","LastSale","Sector","industry","Price/Book","P/E Ratio","Price/EPS Estimate Next Year","Dividend Yield","Market Capitalization","Shares Outstanding","Book Value","Earnings End Time","Earnings Start Time"
"3427","MNLO","Menlo Therapeutics Inc.",8.48,"Health Care","Major Pharmaceuticals",1.3413476,NA,-3.129151,NA,197009040,23232200,6.322,NA,NA
"3428","MTSL","MER Telemanagement Solutions Ltd.",1.75,"Public Utilities","Telecommunications Equipment",4.768392,NA,NA,NA,5765060,3294320,0.367,1543843800,1543411800
"3429","MELI","MercadoLibre, Inc.",451.64,"Miscellaneous","Business Services",60.63096,NA,177.81104,0.000326947,20415438848,45202900,7.449,1557748800,1557226740
"3430","AMTB","Mercantil Bank Holding Corporation",15.61,"Finance","Major Banks",0.8863778,14.453703,10.337749,0.059380922,621949248,26344000,17.611,NA,NA
"3431","MBWM","Mercantile Bank Corporation",34.85,"Finance","Major Banks",1.5355805,13.774703,12.581227,0.026855327,576220352,16534300,22.695,1555936200,1555331400
"3432","MERC","Mercer International Inc.",14.28,"Basic Industries","Paper",1.600538,7.285714,4.744186,0.034916203,930640448,65170900,8.922,1532980800,1532548800
"3433","MBIN","Merchants Bancorp",20.54,"Finance","Major Banks",1.5524149,9.922706,8.418033,0.011510791,589374784,28694000,13.231,NA,NA
"3434","MRCY","Mercury Systems Inc",64.71,"Capital Goods","Electrical Products",3.8405838,91.14085,31.565853,NA,3135781888,48459000,16.849,1556308800,1555963200
"3435","EBSB","Meridian Bancorp, Inc.",16.37,"Finance","Major Banks",1.2400576,15.4433975,12.036765,0.013505217,836608512,51106200,13.201,1556308800,1555963200
"3436","VIVO","Meridian Bioscience Inc.",17.03,"Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances",4.0509043,28.383333,21.833336,0.029291155,723591104,42489200,4.204,1510579800,1510147800
"3437","MMSI","Merit Medical Systems, Inc.",58.16,"Health Care","Medical/Dental Instruments",3.4199693,74.5641,24.748938,NA,3189122048,54833600,17.006,1556539200,1556017140
"3438","MACK","Merrimack Pharmaceuticals, Inc.",5.98,"Health Care","Major Pharmaceuticals",1.1900498,NA,-3.3595507,1.7266775,79789944,13342800,5.025,1552653000,1552307400
"3439","MRSN","Mersana Therapeutics, Inc.",4.71,"Health Care","Major Pharmaceuticals",3.6539953,NA,-1.922449,NA,109189576,23182500,1.289,NA,NA
"3440","MRUS","Merus N.V.",12.75,"Health Care","Major Pharmaceuticals",2.9641542,NA,-4.2156863,NA,293276320,22734600,4.352,1556539200,1556103540
"3441","MESA","Mesa Air Group, Inc.",9.85,"Transportation","Air Freight/Delivery Services",0.5958142,9.266229,3.5178573,NA,239418048,24306400,16.532,NA,NA
"3442","MLAB","Mesa Laboratories, Inc.",240.24,"Capital Goods","Industrial Machinery/Components",8.617239,92.258064,56.262295,0.0027815204,929366080,3868490,27.879,1549632600,1549287000
"3443","MESO","Mesoblast Limited",4.33,"Health Care","Biotechnology: Biological Products (No Diagnostic Substances)",0.8153702,NA,-4.53125,NA,419936800,479183008,5.335,NA,NA
"3444","CASH","Meta Financial Group, Inc.",22.6,"Finance","Savings Institutions",1.1604025,12.137486,6.4756446,0.0081370445,890892032,39420000,19.476,1541188800,1540843200
"3445","MEOH","Methanex Corporation",57.69,"Basic Industries","Major Chemicals",2.9495373,8.334296,8.972006,0.023404256,4418320896,78053400,19.559,NA,NA
"3446","MGEE","MGE Energy Inc.",64.66,"Energy","Electric Utilities: Central",2.7449484,26.62001,26.941668,0.020650815,2241658880,34668400,23.556,1557489600,1557140340
"3447","MGPI","MGP Ingredients, Inc.",81.91,"Consumer Non-Durables","Beverages (Production/Distribution)",6.854394,37.76395,27.39465,0.0039095907,1380707840,16856400,11.95,1494244800,1493722740
"3448","MBOT","Microbot Medical Inc. ",8.06,"Health Care","Biotechnology: Biological Products (No Diagnostic Substances)",3.726306,NA,-9.595239,NA,34719824,4307670,2.163,NA,NA
"3449","MCHP","Microchip Technology Incorporated",88.64,"Technology","Semiconductors",4.0697885,67.30448,13.151336,0.016749166,21004931072,236968992,21.78,1557491400,1557145800
"3450","MU","Micron Technology, Inc.",41.58,"Technology","Semiconductors",1.3750001,3.4258878,6.4968753,NA,46613262336,1121049984,30.24,1553544000,1553112000
"3451","MSFT","Microsoft Corporation",112.53,"Technology","Computer Software: Prepackaged Software",9.384538,26.102993,22.551104,0.015710078,863353765888,7672209920,11.991,1549314000,1548795600
"3452","MSTR","MicroStrategy Incorporated",141.74,"Technology","Computer Software: Prepackaged Software",2.8327606,71.94924,43.08207,NA,1456662016,8241770,50.036,1556539200,1556103540
"3453","MVIS","Microvision, Inc.",1.17,"Capital Goods","Industrial Machinery/Components",9.069768,NA,-5.85,NA,117122848,100105000,0.129,1551128400,1550696400
"3454","MICT","MICT, Inc.",1.13,"Capital Goods","Electrical Products",8.129497,NA,NA,NA,10556596,9342120,0.139,1554148800,1553630400
"3455","MPB","Mid Penn Bancorp",24.44,"Finance","Major Banks",0.92600316,16.469004,NA,0.024499796,206760448,8459920,26.393,1556539200,1556103540
"3456","MTP","Midatech Pharma PLC",0.525,"Health Care","Major Pharmaceuticals",0.5187747,NA,NA,NA,4791990,61084100,1.012,NA,NA
"3457","MCEP","Mid-Con Energy Partners, LP",0.9653,"Energy","Oil & Gas Production",0.48755714,NA,-3.310345,0,29564256,30436100,1.969,1551733200,1551214800
"3458","MBCN","Middlefield Banc Corp.",41.9,"Finance","Major Banks",1.0596061,10.939948,9.610092,0.02669845,135937424,3244330,39.543,1555936200,1555504200
"3459","MSEX","Middlesex Water Company",58.51,"Public Utilities","Water Supply",3.9137123,31.440086,28.541464,0.01520299,959464512,16398300,14.95,1552338000,1551992400
"3460","MSBI","Midland States Bancorp, Inc.",25.55,"Finance","Major Banks",1.0018429,15.391566,9.060284,0.03372549,606858496,23751800,25.503,1556568000,1556136000
"3461","MSVB","Mid-Southern Bancorp, Inc.",12.79,"Finance","Savings Institutions",0.88073266,31.195122,NA,0.0015460133,45666824,3570520,14.522,NA,NA
"3462","MOFG","MidWestOne Financial Group, Inc.",31.5,"Finance","Major Banks",1.0744985,12.701612,9.633028,0.025088452,384996160,12222100,29.316,1556568000,1556136000
"3463","MLND","Millendo Therapeutics, Inc. ",11.64,"Health Care","Major Pharmaceuticals",-0.77900285,NA,-3.426205,NA,146900160,12914300,-14.602,NA,NA
"3464","TIGO","Millicom International Cellular S.A.",59.025,"Public Utilities","Telecommunications Equipment",2.3401556,NA,13.981044,0.043636367,5948733952,100826000,25.212,NA,NA
"3465","MIME","Mimecast Limited",48.68,"Technology","Computer Software: Prepackaged Software",19.218319,NA,97.36,NA,2941333248,60421800,2.533,1558123200,1557777600
"3466","MNDO","MIND C.T.I. Ltd.",2.4301,"Technology","EDP Services",2.4380577,9.111111,NA,0.12195122,47586732,19344200,1.009,1551101400,1550755800
"3467","NERV","Minerva Neurosciences, Inc",8.26,"Health Care","Major Pharmaceuticals",3.1647513,NA,-5.4701986,NA,321078592,38871500,2.61,1509998400,1509566400
"3468","MGEN","Miragen Therapeutics, Inc.",2.69,"Health Care","Medical Specialities",1.3661758,NA,-1.9078015,NA,82958256,30839500,1.969,NA,NA
"3469","MRTX","Mirati Therapeutics, Inc.",73.01,"Health Care","Major Pharmaceuticals",11.785311,NA,-16.63098,NA,2491751168,34128900,6.195,1489453200,1488938400
"3470","MSON","MISONIX, Inc.",19.84,"Capital Goods","Medical Specialities",7.8018947,NA,-59.90909,NA,189540928,9587300,2.534,1541797200,1541451600
"3471","MIND","Mitcham Industries, Inc.",4.05,"Technology","Diversified Commercial Services",1.1508951,NA,-27,NA,49077904,12118000,3.519,1555099200,1554753600
"3472","MITK","Mitek Systems, Inc.",10.99,"Technology","Computer peripheral equipment",4.443995,NA,19.2807,NA,425694336,38734700,2.473,1507293000,1506947400
"3473","MKSI","MKS Instruments, Inc.",83.85,"Capital Goods","Industrial Machinery/Components",2.4190059,11.743697,10.560453,0.0094123315,4544477184,54197700,34.663,1556280000,1555930740
"3474","MMAC","MMA Capital Holdings, Inc.",28.65,"Finance","Real Estate",0.84800947,4.657779,NA,NA,167495632,5846270,33.785,1552914000,1552554000
"3475","MINI","Mobile Mini, Inc.",37.3,"Capital Goods","Metal Fabrications",2.0421572,NA,17.11009,0.027770065,1654501120,44356600,18.265,1555936200,1555590600
"3476","MOBL","MobileIron, Inc.",5.05,"Technology","Computer Software: Prepackaged Software",9.901961,NA,72.14286,NA,539304640,106793000,0.51,1556539200,1556103540
"3477","MMDM","Modern Media Acquisition Corp.",10.28,"Consumer Services","Broadcasting",12.644526,130.12657,NA,NA,63222616,6150060,0.813,NA,NA
"3478","MRNA","Moderna, Inc.",22.27,"Health Care","Biotechnology: Biological Products (No Diagnostic Substances)",-1.9516256,NA,-16.496296,NA,7325671936,328948000,-11.411,NA,NA
"3479","MOGO","Mogo Finance Technology Inc.",2.27,"Finance","Finance: Consumer Services",-14.1875,NA,NA,NA,52122604,22992000,-0.16,NA,NA
"3480","MTEM","Molecular Templates, Inc.",4.93,"Health Care","Major Pharmaceuticals",1.694158,NA,-4.441441,NA,181108480,36736000,2.91,1542402000,1542056400
"3481","MBRX","Moleculin Biotech, Inc.",1.29,"Health Care","Major Pharmaceuticals",2.58,NA,-2.4339623,NA,34997052,27129500,0.5,1554724800,1554289140
"3482","MNTA","Momenta Pharmaceuticals, Inc.",14.67,"Health Care","Biotechnology: Biological Products (No Diagnostic Substances)",3.0216272,NA,-10.404256,NA,1444466944,98464000,4.855,1557491400,1557145800
"3483","MOMO","Momo Inc.",33.28,"Technology","Computer Software: Prepackaged Software",4.6299386,16.313725,11.885714,NA,6875648000,206600000,7.188,1552311000,1551792600
"3484","MKGI","Monaker Group, Inc.",2.37,"Consumer Services","Transportation Services",4.4859815,NA,NA,NA,23018304,9590960,0.535,NA,NA
"3485","MCRI","Monarch Casino & Resort, Inc.",44.31,"Consumer Services","Hotels/Resorts",2.6362445,24.213116,14.819399,NA,793990912,17919000,16.808,1556568000,1556136000
"3486","MDLZ","Mondelez International, Inc.",47.23,"Consumer Non-Durables","Packaged Foods",2.673043,20.714912,17.623135,0.020356234,68208148480,1444169984,17.669,1556913900,1556553900
"3487","MGI","Moneygram International, Inc.",2.49,"Miscellaneous","Business Services",-0.51584834,NA,4.98,NA,138662368,55616400,-4.827,1489768200,1489681800
"3488","MDB","MongoDB, Inc.",104.16,"Technology","Computer Software: Prepackaged Software",28.25061,NA,-82.015755,NA,5583340544,35408800,3.687,NA,NA
"3489","MPWR","Monolithic Power Systems, Inc.",136.18,"Technology","Semiconductors",9.043097,57.70339,26.494164,0.008947879,5788330496,42505000,15.059,1556884800,1556535540
"3490","TYPE","Monotype Imaging Holdings Inc.",20.02,"Technology","EDP Services",2.436709,70,15.166666,0.023673467,798639872,39892100,8.216,1556541000,1556195400
"3491","MNRO","Monro, Inc. ",77.24,"Consumer Services","Automotive Aftermarket",3.7261806,32.16993,29.147167,0.0102214655,2556914176,33103500,20.729,1558701000,1558355400
"3492","MNST","Monster Beverage Corporation",64.74,"Consumer Non-Durables","Beverages (Production/Distribution)",9.747064,36.78409,28.147825,NA,35798822912,552963008,6.642,1557489600,1557140340
"3493","MORN","Morningstar, Inc.",125.3,"Finance","Investment Managers",5.7240753,29.482353,44.11972,0.008138432,5345297920,42660000,21.89,1556539200,1556017140
"3494","MOR","MorphoSys AG",26.17,"Health Care","Major Pharmaceuticals",5.3378205,NA,NA,NA,3261227008,31556300,4.90275,NA,NA
"3495","MOSY","MoSys, Inc.",0.166,"Technology","Semiconductors",0.99401194,NA,16.6,NA,7132472,42966700,0.167,1557748800,1557313140
"3496","MTFB","Motif Bio plc",1.9032,"Health Care","Major Pharmaceuticals",-8.650909,NA,-0.59849054,NA,28705204,296660000,-0.22,NA,NA
"3497","MPAA","Motorcar Parts of America, Inc.",21.22,"Capital Goods","Auto Parts:O.E.M.",1.4267464,1178.8889,10.009434,NA,399129088,18809100,14.873,1502454600,1502109000
"3498","MOTS","Motus GI Holdings, Inc.",4.35,"Health Care","Medical/Dental Instruments",7.2259135,NA,-4.1826925,NA,93264864,21440200,0.602,NA,NA
"3499","MPVD","Mountain Province Diamonds Inc.",1.02,"Basic Industries","Precious Metals",0.5769231,NA,11.333333,0.029126214,211661232,210006000,1.768,NA,NA
"3500","MOXC","Moxian, Inc.",0.471,"Technology","Computer Software: Programming, Data Processing",-3.0584414,NA,NA,NA,31725240,67357200,-0.154,NA,NA
"3501","COOP","Mr. Cooper Group Inc.",13.51,"Finance","Finance: Consumer Services",0.5903946,0.48917374,5.059925,NA,1226891776,90813600,22.883,NA,NA
"3502","MSBF","MSB Financial Corp.",18.09,"Finance","Savings Institutions",1.4140545,20.1,NA,NA,89721880,4959750,12.793,1549314000,1548882000
"3503","MTBC","MTBC, Inc.",4.43,"Technology","Computer Software: Prepackaged Software",1.9088937,NA,-14.193548,NA,52051120,11829800,2.305,1510579800,1510147800
"3504","MTEC","MTech Acquisition Corp.",10.1024,"Technology","EDP Services",4.3698573,NA,NA,NA,21848080,727822,2.309,NA,NA
"3505","MTSC","MTS Systems Corporation",54.93,"Capital Goods","Industrial Machinery/Components",2.0740042,27.423864,16.901539,0.022514073,983378816,17902400,26.485,1557489600,1557140340
"3506","MUDS","Mudrick Capital Acquisition Corporation",9.98,"Finance","Business Services",51.979164,NA,NA,NA,259479984,20800000,0.192,NA,NA
"3507","LABL","Multi-Color Corporation",50.21,"Miscellaneous","Publishing",1.4264205,13.703602,13.831955,0.004012036,1030178624,20517400,35.2,1559565000,1559032200
"3508","MBIO","Mustang Bio, Inc.",4.01,"Health Care","Major Pharmaceuticals",2.4098558,NA,-3.4869568,NA,108404744,26033600,1.664,NA,NA
"3509","MFSF","MutualFirst Financial Inc.",31.7,"Finance","Major Banks",1.3477318,14.343891,11.527273,0.023536896,272729696,8603460,23.521,1556541000,1556195400
"3510","MVBF","MVB Financial Corp.",15.86,"Finance","Major Banks",1.0413657,15.86,13.216666,0.0071895425,184091776,11607300,15.23,1557145800,1556800200
"3511","MYSZ","My Size, Inc.",0.7367,"Technology","Computer Software: Prepackaged Software",3.8369792,NA,NA,NA,22292468,29852400,0.192,NA,NA
"3512","MYL","Mylan N.V.",27.45,"Health Care","Major Pharmaceuticals",1.1636779,40.36765,5.545455,NA,14162828288,515950016,23.589,1557750600,1557232200
"3513","MYND","MYnd Analytics, Inc.",1.63,"Health Care","Hospital/Nursing Management",5.6794424,NA,-3.1960785,NA,13730615,8423690,0.287,NA,NA
"3514","MYOK","MyoKardia, Inc.",47.75,"Health Care","Major Pharmaceuticals",5.191346,NA,-9.764827,NA,1922925952,40270700,9.198,1552305600,1551869940
"3515","MYOS","MYOS RENS Technology Inc.",1.5,"Health Care","Major Pharmaceuticals",3.9370077,NA,-2.8846154,NA,11210580,7473720,0.381,1553889600,1553544000
"3516","MYRG","MYR Group, Inc.",33.27,"Basic Industries","Water Supply",1.7693044,16.253054,15.054298,NA,551107584,16564700,18.804,1552338000,1551819600
"3517","MYGN","Myriad Genetics, Inc.",30.84,"Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances",2.1213372,100.78432,15.979275,NA,2259717888,73272304,14.538,1557491400,1557145800
"3518","NBRV","Nabriva Therapeutics plc",2.05,"Health Care","Major Pharmaceuticals",1.413793,NA,-1.7226889,NA,137313296,66982100,1.45,1502454600,1502109000
